image,tile,ground_truth,path,group
Screenshot-00008.png,6,654,output/Screenshot-00008_tile_6.png,Screenshot-00008
Screenshot-00008.png,7,654,output/Screenshot-00008_tile_7.png,Screenshot-00008
Screenshot-00008.png,8,654,output/Screenshot-00008_tile_8.png,Screenshot-00008
Screenshot-00008.png,9,871,output/Screenshot-00008_tile_9.png,Screenshot-00008
Screenshot-00011.png,1,464,output/Screenshot-00011_tile_1.png,Screenshot-00011
Screenshot-00011.png,2,298,output/Screenshot-00011_tile_2.png,Screenshot-00011
Screenshot-00011.png,3,468,output/Screenshot-00011_tile_3.png,Screenshot-00011
Screenshot-00011.png,4,640,output/Screenshot-00011_tile_4.png,Screenshot-00011
Screenshot-00011.png,5,464,output/Screenshot-00011_tile_5.png,Screenshot-00011
Screenshot-00011.png,6,464,output/Screenshot-00011_tile_6.png,Screenshot-00011
Screenshot-00011.png,7,937,output/Screenshot-00011_tile_7.png,Screenshot-00011
Screenshot-00011.png,8,185,output/Screenshot-00011_tile_8.png,Screenshot-00011
Screenshot-00011.png,9,464,output/Screenshot-00011_tile_9.png,Screenshot-00011
Screenshot-00012.png,1,248,output/Screenshot-00012_tile_1.png,Screenshot-00012
Screenshot-00012.png,2,748,output/Screenshot-00012_tile_2.png,Screenshot-00012
Screenshot-00012.png,3,572,output/Screenshot-00012_tile_3.png,Screenshot-00012
Screenshot-00012.png,4,514,output/Screenshot-00012_tile_4.png,Screenshot-00012
Screenshot-00012.png,5,899,output/Screenshot-00012_tile_5.png,Screenshot-00012
Screenshot-00012.png,6,572,output/Screenshot-00012_tile_6.png,Screenshot-00012
Screenshot-00012.png,7,571,output/Screenshot-00012_tile_7.png,Screenshot-00012
Screenshot-00012.png,8,572,output/Screenshot-00012_tile_8.png,Screenshot-00012
Screenshot-00012.png,9,160,output/Screenshot-00012_tile_9.png,Screenshot-00012
Screenshot-00015.png,1,479,output/Screenshot-00015_tile_1.png,Screenshot-00015
Screenshot-00015.png,2,991,output/Screenshot-00015_tile_2.png,Screenshot-00015
Screenshot-00015.png,3,479,output/Screenshot-00015_tile_3.png,Screenshot-00015
Screenshot-00015.png,4,479,output/Screenshot-00015_tile_4.png,Screenshot-00015
Screenshot-00015.png,5,479,output/Screenshot-00015_tile_5.png,Screenshot-00015
Screenshot-00015.png,6,150,output/Screenshot-00015_tile_6.png,Screenshot-00015
Screenshot-00015.png,7,191,output/Screenshot-00015_tile_7.png,Screenshot-00015
Screenshot-00015.png,8,890,output/Screenshot-00015_tile_8.png,Screenshot-00015
Screenshot-00015.png,9,222,output/Screenshot-00015_tile_9.png,Screenshot-00015
Screenshot-00016.png,1,528,output/Screenshot-00016_tile_1.png,Screenshot-00016
Screenshot-00016.png,2,144,output/Screenshot-00016_tile_2.png,Screenshot-00016
Screenshot-00016.png,3,123,output/Screenshot-00016_tile_3.png,Screenshot-00016
Screenshot-00016.png,4,510,output/Screenshot-00016_tile_4.png,Screenshot-00016
Screenshot-00016.png,5,510,output/Screenshot-00016_tile_5.png,Screenshot-00016
Screenshot-00016.png,6,478,output/Screenshot-00016_tile_6.png,Screenshot-00016
Screenshot-00016.png,7,510,output/Screenshot-00016_tile_7.png,Screenshot-00016
Screenshot-00016.png,8,510,output/Screenshot-00016_tile_8.png,Screenshot-00016
Screenshot-00016.png,9,510,output/Screenshot-00016_tile_9.png,Screenshot-00016
Screenshot-00017.png,1,478,output/Screenshot-00017_tile_1.png,Screenshot-00017
Screenshot-00017.png,2,328,output/Screenshot-00017_tile_2.png,Screenshot-00017
Screenshot-00017.png,3,800,output/Screenshot-00017_tile_3.png,Screenshot-00017
Screenshot-00017.png,4,462,output/Screenshot-00017_tile_4.png,Screenshot-00017
Screenshot-00017.png,5,484,output/Screenshot-00017_tile_5.png,Screenshot-00017
Screenshot-00017.png,6,357,output/Screenshot-00017_tile_6.png,Screenshot-00017
Screenshot-00017.png,7,727,output/Screenshot-00017_tile_7.png,Screenshot-00017
Screenshot-00017.png,8,328,output/Screenshot-00017_tile_8.png,Screenshot-00017
Screenshot-00017.png,9,328,output/Screenshot-00017_tile_9.png,Screenshot-00017
Screenshot-00018.png,1,128,output/Screenshot-00018_tile_1.png,Screenshot-00018
Screenshot-00018.png,2,731,output/Screenshot-00018_tile_2.png,Screenshot-00018
Screenshot-00018.png,3,128,output/Screenshot-00018_tile_3.png,Screenshot-00018
Screenshot-00018.png,4,173,output/Screenshot-00018_tile_4.png,Screenshot-00018
Screenshot-00018.png,5,404,output/Screenshot-00018_tile_5.png,Screenshot-00018
Screenshot-00018.png,6,128,output/Screenshot-00018_tile_6.png,Screenshot-00018
Screenshot-00018.png,7,128,output/Screenshot-00018_tile_7.png,Screenshot-00018
Screenshot-00018.png,8,128,output/Screenshot-00018_tile_8.png,Screenshot-00018
Screenshot-00018.png,9,128,output/Screenshot-00018_tile_9.png,Screenshot-00018
Screenshot-00019.png,1,235,output/Screenshot-00019_tile_1.png,Screenshot-00019
Screenshot-00019.png,2,235,output/Screenshot-00019_tile_2.png,Screenshot-00019
Screenshot-00019.png,3,235,output/Screenshot-00019_tile_3.png,Screenshot-00019
Screenshot-00019.png,4,235,output/Screenshot-00019_tile_4.png,Screenshot-00019
Screenshot-00019.png,5,895,output/Screenshot-00019_tile_5.png,Screenshot-00019
Screenshot-00019.png,6,235,output/Screenshot-00019_tile_6.png,Screenshot-00019
Screenshot-00019.png,7,847,output/Screenshot-00019_tile_7.png,Screenshot-00019
Screenshot-00019.png,8,865,output/Screenshot-00019_tile_8.png,Screenshot-00019
Screenshot-00019.png,9,857,output/Screenshot-00019_tile_9.png,Screenshot-00019
Screenshot-00021.png,1,645,output/Screenshot-00021_tile_1.png,Screenshot-00021
Screenshot-00021.png,2,645,output/Screenshot-00021_tile_2.png,Screenshot-00021
Screenshot-00021.png,3,523,output/Screenshot-00021_tile_3.png,Screenshot-00021
Screenshot-00021.png,4,645,output/Screenshot-00021_tile_4.png,Screenshot-00021
Screenshot-00021.png,5,645,output/Screenshot-00021_tile_5.png,Screenshot-00021
Screenshot-00021.png,6,739,output/Screenshot-00021_tile_6.png,Screenshot-00021
Screenshot-00021.png,7,645,output/Screenshot-00021_tile_7.png,Screenshot-00021
Screenshot-00021.png,8,650,output/Screenshot-00021_tile_8.png,Screenshot-00021
Screenshot-00021.png,9,645,output/Screenshot-00021_tile_9.png,Screenshot-00021
Screenshot-00022.png,1,730,output/Screenshot-00022_tile_1.png,Screenshot-00022
Screenshot-00022.png,2,151,output/Screenshot-00022_tile_2.png,Screenshot-00022
Screenshot-00022.png,3,586,output/Screenshot-00022_tile_3.png,Screenshot-00022
Screenshot-00022.png,4,586,output/Screenshot-00022_tile_4.png,Screenshot-00022
Screenshot-00022.png,5,586,output/Screenshot-00022_tile_5.png,Screenshot-00022
Screenshot-00022.png,6,773,output/Screenshot-00022_tile_6.png,Screenshot-00022
Screenshot-00022.png,7,228,output/Screenshot-00022_tile_7.png,Screenshot-00022
Screenshot-00022.png,8,586,output/Screenshot-00022_tile_8.png,Screenshot-00022
Screenshot-00022.png,9,586,output/Screenshot-00022_tile_9.png,Screenshot-00022
Screenshot-00023.png,1,909,output/Screenshot-00023_tile_1.png,Screenshot-00023
Screenshot-00023.png,2,671,output/Screenshot-00023_tile_2.png,Screenshot-00023
Screenshot-00023.png,3,856,output/Screenshot-00023_tile_3.png,Screenshot-00023
Screenshot-00023.png,4,909,output/Screenshot-00023_tile_4.png,Screenshot-00023
Screenshot-00023.png,5,909,output/Screenshot-00023_tile_5.png,Screenshot-00023
Screenshot-00023.png,6,909,output/Screenshot-00023_tile_6.png,Screenshot-00023
Screenshot-00023.png,7,909,output/Screenshot-00023_tile_7.png,Screenshot-00023
Screenshot-00023.png,8,261,output/Screenshot-00023_tile_8.png,Screenshot-00023
Screenshot-00023.png,9,909,output/Screenshot-00023_tile_9.png,Screenshot-00023
Screenshot-00025.png,1,789,output/Screenshot-00025_tile_1.png,Screenshot-00025
Screenshot-00025.png,2,788,output/Screenshot-00025_tile_2.png,Screenshot-00025
Screenshot-00025.png,3,788,output/Screenshot-00025_tile_3.png,Screenshot-00025
Screenshot-00025.png,4,788,output/Screenshot-00025_tile_4.png,Screenshot-00025
Screenshot-00025.png,5,463,output/Screenshot-00025_tile_5.png,Screenshot-00025
Screenshot-00025.png,6,788,output/Screenshot-00025_tile_6.png,Screenshot-00025
Screenshot-00025.png,7,781,output/Screenshot-00025_tile_7.png,Screenshot-00025
Screenshot-00025.png,8,788,output/Screenshot-00025_tile_8.png,Screenshot-00025
Screenshot-00025.png,9,788,output/Screenshot-00025_tile_9.png,Screenshot-00025
Screenshot-00027.png,1,540,output/Screenshot-00027_tile_1.png,Screenshot-00027
Screenshot-00027.png,2,540,output/Screenshot-00027_tile_2.png,Screenshot-00027
Screenshot-00027.png,3,316,output/Screenshot-00027_tile_3.png,Screenshot-00027
Screenshot-00027.png,4,597,output/Screenshot-00027_tile_4.png,Screenshot-00027
Screenshot-00027.png,5,540,output/Screenshot-00027_tile_5.png,Screenshot-00027
Screenshot-00027.png,6,540,output/Screenshot-00027_tile_6.png,Screenshot-00027
Screenshot-00027.png,7,101,output/Screenshot-00027_tile_7.png,Screenshot-00027
Screenshot-00027.png,8,711,output/Screenshot-00027_tile_8.png,Screenshot-00027
Screenshot-00027.png,9,908,output/Screenshot-00027_tile_9.png,Screenshot-00027
Screenshot-00030.png,1,415,output/Screenshot-00030_tile_1.png,Screenshot-00030
Screenshot-00030.png,2,415,output/Screenshot-00030_tile_2.png,Screenshot-00030
Screenshot-00030.png,3,415,output/Screenshot-00030_tile_3.png,Screenshot-00030
Screenshot-00030.png,4,957,output/Screenshot-00030_tile_4.png,Screenshot-00030
Screenshot-00030.png,5,415,output/Screenshot-00030_tile_5.png,Screenshot-00030
Screenshot-00030.png,6,118,output/Screenshot-00030_tile_6.png,Screenshot-00030
Screenshot-00030.png,7,415,output/Screenshot-00030_tile_7.png,Screenshot-00030
Screenshot-00030.png,8,415,output/Screenshot-00030_tile_8.png,Screenshot-00030
Screenshot-00030.png,9,515,output/Screenshot-00030_tile_9.png,Screenshot-00030
Screenshot-00033.png,1,491,output/Screenshot-00033_tile_1.png,Screenshot-00033
Screenshot-00033.png,2,172,output/Screenshot-00033_tile_2.png,Screenshot-00033
Screenshot-00033.png,3,868,output/Screenshot-00033_tile_3.png,Screenshot-00033
Screenshot-00033.png,4,491,output/Screenshot-00033_tile_4.png,Screenshot-00033
Screenshot-00033.png,5,491,output/Screenshot-00033_tile_5.png,Screenshot-00033
Screenshot-00033.png,6,292,output/Screenshot-00033_tile_6.png,Screenshot-00033
Screenshot-00033.png,7,491,output/Screenshot-00033_tile_7.png,Screenshot-00033
Screenshot-00033.png,8,491,output/Screenshot-00033_tile_8.png,Screenshot-00033
Screenshot-00033.png,9,491,output/Screenshot-00033_tile_9.png,Screenshot-00033
Screenshot-00034.png,1,671,output/Screenshot-00034_tile_1.png,Screenshot-00034
Screenshot-00034.png,2,671,output/Screenshot-00034_tile_2.png,Screenshot-00034
Screenshot-00034.png,3,671,output/Screenshot-00034_tile_3.png,Screenshot-00034
Screenshot-00034.png,4,599,output/Screenshot-00034_tile_4.png,Screenshot-00034
Screenshot-00034.png,5,671,output/Screenshot-00034_tile_5.png,Screenshot-00034
Screenshot-00034.png,6,671,output/Screenshot-00034_tile_6.png,Screenshot-00034
Screenshot-00034.png,7,671,output/Screenshot-00034_tile_7.png,Screenshot-00034
Screenshot-00034.png,8,842,output/Screenshot-00034_tile_8.png,Screenshot-00034
Screenshot-00034.png,9,376,output/Screenshot-00034_tile_9.png,Screenshot-00034
Screenshot-00036.png,1,214,output/Screenshot-00036_tile_1.png,Screenshot-00036
Screenshot-00036.png,2,606,output/Screenshot-00036_tile_2.png,Screenshot-00036
Screenshot-00036.png,3,489,output/Screenshot-00036_tile_3.png,Screenshot-00036
Screenshot-00036.png,4,214,output/Screenshot-00036_tile_4.png,Screenshot-00036
Screenshot-00036.png,5,812,output/Screenshot-00036_tile_5.png,Screenshot-00036
Screenshot-00036.png,6,214,output/Screenshot-00036_tile_6.png,Screenshot-00036
Screenshot-00036.png,7,214,output/Screenshot-00036_tile_7.png,Screenshot-00036
Screenshot-00036.png,8,377,output/Screenshot-00036_tile_8.png,Screenshot-00036
Screenshot-00036.png,9,100,output/Screenshot-00036_tile_9.png,Screenshot-00036
Screenshot-00037.png,1,851,output/Screenshot-00037_tile_1.png,Screenshot-00037
Screenshot-00037.png,2,126,output/Screenshot-00037_tile_2.png,Screenshot-00037
Screenshot-00037.png,3,126,output/Screenshot-00037_tile_3.png,Screenshot-00037
Screenshot-00037.png,4,311,output/Screenshot-00037_tile_4.png,Screenshot-00037
Screenshot-00037.png,5,956,output/Screenshot-00037_tile_5.png,Screenshot-00037
Screenshot-00037.png,6,126,output/Screenshot-00037_tile_6.png,Screenshot-00037
Screenshot-00037.png,7,718,output/Screenshot-00037_tile_7.png,Screenshot-00037
Screenshot-00037.png,8,126,output/Screenshot-00037_tile_8.png,Screenshot-00037
Screenshot-00037.png,9,913,output/Screenshot-00037_tile_9.png,Screenshot-00037
Screenshot-00038.png,1,434,output/Screenshot-00038_tile_1.png,Screenshot-00038
Screenshot-00038.png,2,546,output/Screenshot-00038_tile_2.png,Screenshot-00038
Screenshot-00038.png,3,434,output/Screenshot-00038_tile_3.png,Screenshot-00038
Screenshot-00038.png,4,434,output/Screenshot-00038_tile_4.png,Screenshot-00038
Screenshot-00038.png,5,434,output/Screenshot-00038_tile_5.png,Screenshot-00038
Screenshot-00038.png,6,434,output/Screenshot-00038_tile_6.png,Screenshot-00038
Screenshot-00038.png,7,874,output/Screenshot-00038_tile_7.png,Screenshot-00038
Screenshot-00038.png,8,472,output/Screenshot-00038_tile_8.png,Screenshot-00038
Screenshot-00038.png,9,434,output/Screenshot-00038_tile_9.png,Screenshot-00038
Screenshot-00040.png,1,865,output/Screenshot-00040_tile_1.png,Screenshot-00040
Screenshot-00040.png,2,865,output/Screenshot-00040_tile_2.png,Screenshot-00040
Screenshot-00040.png,3,660,output/Screenshot-00040_tile_3.png,Screenshot-00040
Screenshot-00040.png,4,865,output/Screenshot-00040_tile_4.png,Screenshot-00040
Screenshot-00040.png,5,865,output/Screenshot-00040_tile_5.png,Screenshot-00040
Screenshot-00040.png,6,234,output/Screenshot-00040_tile_6.png,Screenshot-00040
Screenshot-00040.png,7,856,output/Screenshot-00040_tile_7.png,Screenshot-00040
Screenshot-00040.png,8,865,output/Screenshot-00040_tile_8.png,Screenshot-00040
Screenshot-00040.png,9,770,output/Screenshot-00040_tile_9.png,Screenshot-00040
Screenshot-00041.png,1,578,output/Screenshot-00041_tile_1.png,Screenshot-00041
Screenshot-00041.png,2,783,output/Screenshot-00041_tile_2.png,Screenshot-00041
Screenshot-00041.png,3,783,output/Screenshot-00041_tile_3.png,Screenshot-00041
Screenshot-00041.png,4,523,output/Screenshot-00041_tile_4.png,Screenshot-00041
Screenshot-00041.png,5,783,output/Screenshot-00041_tile_5.png,Screenshot-00041
Screenshot-00041.png,6,783,output/Screenshot-00041_tile_6.png,Screenshot-00041
Screenshot-00041.png,7,783,output/Screenshot-00041_tile_7.png,Screenshot-00041
Screenshot-00041.png,8,226,output/Screenshot-00041_tile_8.png,Screenshot-00041
Screenshot-00041.png,9,783,output/Screenshot-00041_tile_9.png,Screenshot-00041
Screenshot-00043.png,1,109,output/Screenshot-00043_tile_1.png,Screenshot-00043
Screenshot-00043.png,2,863,output/Screenshot-00043_tile_2.png,Screenshot-00043
Screenshot-00043.png,3,905,output/Screenshot-00043_tile_3.png,Screenshot-00043
Screenshot-00043.png,4,415,output/Screenshot-00043_tile_4.png,Screenshot-00043
Screenshot-00043.png,5,863,output/Screenshot-00043_tile_5.png,Screenshot-00043
Screenshot-00043.png,6,863,output/Screenshot-00043_tile_6.png,Screenshot-00043
Screenshot-00043.png,7,863,output/Screenshot-00043_tile_7.png,Screenshot-00043
Screenshot-00043.png,8,863,output/Screenshot-00043_tile_8.png,Screenshot-00043
Screenshot-00043.png,9,863,output/Screenshot-00043_tile_9.png,Screenshot-00043
Screenshot-00044.png,1,715,output/Screenshot-00044_tile_1.png,Screenshot-00044
Screenshot-00044.png,2,360,output/Screenshot-00044_tile_2.png,Screenshot-00044
Screenshot-00044.png,3,715,output/Screenshot-00044_tile_3.png,Screenshot-00044
Screenshot-00044.png,4,986,output/Screenshot-00044_tile_4.png,Screenshot-00044
Screenshot-00044.png,5,715,output/Screenshot-00044_tile_5.png,Screenshot-00044
Screenshot-00044.png,6,715,output/Screenshot-00044_tile_6.png,Screenshot-00044
Screenshot-00044.png,7,186,output/Screenshot-00044_tile_7.png,Screenshot-00044
Screenshot-00044.png,8,526,output/Screenshot-00044_tile_8.png,Screenshot-00044
Screenshot-00044.png,9,715,output/Screenshot-00044_tile_9.png,Screenshot-00044
Screenshot-00045.png,1,490,output/Screenshot-00045_tile_1.png,Screenshot-00045
Screenshot-00045.png,2,490,output/Screenshot-00045_tile_2.png,Screenshot-00045
Screenshot-00045.png,3,490,output/Screenshot-00045_tile_3.png,Screenshot-00045
Screenshot-00045.png,4,742,output/Screenshot-00045_tile_4.png,Screenshot-00045
Screenshot-00045.png,5,112,output/Screenshot-00045_tile_5.png,Screenshot-00045
Screenshot-00045.png,6,600,output/Screenshot-00045_tile_6.png,Screenshot-00045
Screenshot-00045.png,7,844,output/Screenshot-00045_tile_7.png,Screenshot-00045
Screenshot-00045.png,8,379,output/Screenshot-00045_tile_8.png,Screenshot-00045
Screenshot-00045.png,9,147,output/Screenshot-00045_tile_9.png,Screenshot-00045
Screenshot-00047.png,1,279,output/Screenshot-00047_tile_1.png,Screenshot-00047
Screenshot-00047.png,2,756,output/Screenshot-00047_tile_2.png,Screenshot-00047
Screenshot-00047.png,3,312,output/Screenshot-00047_tile_3.png,Screenshot-00047
Screenshot-00047.png,4,756,output/Screenshot-00047_tile_4.png,Screenshot-00047
Screenshot-00047.png,5,859,output/Screenshot-00047_tile_5.png,Screenshot-00047
Screenshot-00047.png,6,756,output/Screenshot-00047_tile_6.png,Screenshot-00047
Screenshot-00047.png,7,756,output/Screenshot-00047_tile_7.png,Screenshot-00047
Screenshot-00047.png,8,213,output/Screenshot-00047_tile_8.png,Screenshot-00047
Screenshot-00047.png,9,897,output/Screenshot-00047_tile_9.png,Screenshot-00047
Screenshot-00049.png,1,460,output/Screenshot-00049_tile_1.png,Screenshot-00049
Screenshot-00049.png,2,177,output/Screenshot-00049_tile_2.png,Screenshot-00049
Screenshot-00049.png,3,141,output/Screenshot-00049_tile_3.png,Screenshot-00049
Screenshot-00049.png,4,948,output/Screenshot-00049_tile_4.png,Screenshot-00049
Screenshot-00049.png,5,367,output/Screenshot-00049_tile_5.png,Screenshot-00049
Screenshot-00049.png,6,460,output/Screenshot-00049_tile_6.png,Screenshot-00049
Screenshot-00049.png,7,199,output/Screenshot-00049_tile_7.png,Screenshot-00049
Screenshot-00049.png,8,460,output/Screenshot-00049_tile_8.png,Screenshot-00049
Screenshot-00049.png,9,460,output/Screenshot-00049_tile_9.png,Screenshot-00049
Screenshot-00050.png,1,599,output/Screenshot-00050_tile_1.png,Screenshot-00050
Screenshot-00050.png,2,343,output/Screenshot-00050_tile_2.png,Screenshot-00050
Screenshot-00050.png,3,343,output/Screenshot-00050_tile_3.png,Screenshot-00050
Screenshot-00050.png,4,343,output/Screenshot-00050_tile_4.png,Screenshot-00050
Screenshot-00050.png,5,781,output/Screenshot-00050_tile_5.png,Screenshot-00050
Screenshot-00050.png,6,343,output/Screenshot-00050_tile_6.png,Screenshot-00050
Screenshot-00050.png,7,564,output/Screenshot-00050_tile_7.png,Screenshot-00050
Screenshot-00050.png,8,343,output/Screenshot-00050_tile_8.png,Screenshot-00050
Screenshot-00050.png,9,458,output/Screenshot-00050_tile_9.png,Screenshot-00050
Screenshot-00052.png,1,954,output/Screenshot-00052_tile_1.png,Screenshot-00052
Screenshot-00052.png,2,284,output/Screenshot-00052_tile_2.png,Screenshot-00052
Screenshot-00052.png,3,380,output/Screenshot-00052_tile_3.png,Screenshot-00052
Screenshot-00052.png,4,954,output/Screenshot-00052_tile_4.png,Screenshot-00052
Screenshot-00052.png,5,844,output/Screenshot-00052_tile_5.png,Screenshot-00052
Screenshot-00052.png,6,954,output/Screenshot-00052_tile_6.png,Screenshot-00052
Screenshot-00052.png,7,782,output/Screenshot-00052_tile_7.png,Screenshot-00052
Screenshot-00052.png,8,954,output/Screenshot-00052_tile_8.png,Screenshot-00052
Screenshot-00052.png,9,954,output/Screenshot-00052_tile_9.png,Screenshot-00052
Screenshot-00053.png,1,429,output/Screenshot-00053_tile_1.png,Screenshot-00053
Screenshot-00053.png,2,450,output/Screenshot-00053_tile_2.png,Screenshot-00053
Screenshot-00053.png,3,511,output/Screenshot-00053_tile_3.png,Screenshot-00053
Screenshot-00053.png,4,511,output/Screenshot-00053_tile_4.png,Screenshot-00053
Screenshot-00053.png,5,511,output/Screenshot-00053_tile_5.png,Screenshot-00053
Screenshot-00053.png,6,511,output/Screenshot-00053_tile_6.png,Screenshot-00053
Screenshot-00053.png,7,504,output/Screenshot-00053_tile_7.png,Screenshot-00053
Screenshot-00053.png,8,157,output/Screenshot-00053_tile_8.png,Screenshot-00053
Screenshot-00053.png,9,593,output/Screenshot-00053_tile_9.png,Screenshot-00053
Screenshot-00054.png,1,769,output/Screenshot-00054_tile_1.png,Screenshot-00054
Screenshot-00054.png,2,415,output/Screenshot-00054_tile_2.png,Screenshot-00054
Screenshot-00054.png,3,415,output/Screenshot-00054_tile_3.png,Screenshot-00054
Screenshot-00054.png,4,251,output/Screenshot-00054_tile_4.png,Screenshot-00054
Screenshot-00054.png,5,402,output/Screenshot-00054_tile_5.png,Screenshot-00054
Screenshot-00054.png,6,415,output/Screenshot-00054_tile_6.png,Screenshot-00054
Screenshot-00054.png,7,415,output/Screenshot-00054_tile_7.png,Screenshot-00054
Screenshot-00054.png,8,338,output/Screenshot-00054_tile_8.png,Screenshot-00054
Screenshot-00054.png,9,647,output/Screenshot-00054_tile_9.png,Screenshot-00054
Screenshot-00055.png,1,260,output/Screenshot-00055_tile_1.png,Screenshot-00055
Screenshot-00055.png,2,629,output/Screenshot-00055_tile_2.png,Screenshot-00055
Screenshot-00055.png,3,629,output/Screenshot-00055_tile_3.png,Screenshot-00055
Screenshot-00055.png,4,629,output/Screenshot-00055_tile_4.png,Screenshot-00055
Screenshot-00055.png,5,438,output/Screenshot-00055_tile_5.png,Screenshot-00055
Screenshot-00055.png,6,796,output/Screenshot-00055_tile_6.png,Screenshot-00055
Screenshot-00055.png,7,557,output/Screenshot-00055_tile_7.png,Screenshot-00055
Screenshot-00055.png,8,561,output/Screenshot-00055_tile_8.png,Screenshot-00055
Screenshot-00055.png,9,884,output/Screenshot-00055_tile_9.png,Screenshot-00055
Screenshot-00057.png,1,538,output/Screenshot-00057_tile_1.png,Screenshot-00057
Screenshot-00057.png,2,925,output/Screenshot-00057_tile_2.png,Screenshot-00057
Screenshot-00057.png,3,925,output/Screenshot-00057_tile_3.png,Screenshot-00057
Screenshot-00057.png,4,268,output/Screenshot-00057_tile_4.png,Screenshot-00057
Screenshot-00057.png,5,925,output/Screenshot-00057_tile_5.png,Screenshot-00057
Screenshot-00057.png,6,925,output/Screenshot-00057_tile_6.png,Screenshot-00057
Screenshot-00057.png,7,708,output/Screenshot-00057_tile_7.png,Screenshot-00057
Screenshot-00057.png,8,763,output/Screenshot-00057_tile_8.png,Screenshot-00057
Screenshot-00057.png,9,925,output/Screenshot-00057_tile_9.png,Screenshot-00057
