image,tile,ground_truth
Screenshot-00026,7,475
Screenshot-00026,8,475
Screenshot-00026,9,475
Screenshot-00027,1,540
Screenshot-00027,2,540
Screenshot-00027,3,316
Screenshot-00027,4,597
Screenshot-00027,5,540
Screenshot-00027,6,540
Screenshot-00027,7,101
Screenshot-00027,8,711
Screenshot-00027,9,908
Screenshot-00028,1,186
Screenshot-00028,2,165
Screenshot-00028,3,586
Screenshot-00028,4,761
Screenshot-00028,5,478
Screenshot-00028,6,623
Screenshot-00028,7,761
Screenshot-00028,8,761
Screenshot-00028,9,327
Screenshot-00029,1,412
Screenshot-00029,2,412
Screenshot-00029,3,142
Screenshot-00029,4,840
Screenshot-00029,5,412
Screenshot-00029,6,207
Screenshot-00029,7,866
Screenshot-00029,8,445
Screenshot-00029,9,757
Screenshot-00030,1,415
Screenshot-00030,2,415
Screenshot-00030,3,415
Screenshot-00030,4,957
Screenshot-00030,5,415
Screenshot-00030,6,118
Screenshot-00030,7,415
Screenshot-00030,8,415
Screenshot-00030,9,515
Screenshot-00031,1,117
Screenshot-00031,2,404
Screenshot-00031,3,507
Screenshot-00031,4,507
Screenshot-00031,5,239
Screenshot-00031,6,507
Screenshot-00031,7,221
Screenshot-00031,8,507
Screenshot-00031,9,507
Screenshot-00032,1,618
Screenshot-00032,2,784
Screenshot-00032,3,865
Screenshot-00032,4,392
Screenshot-00032,5,630
Screenshot-00032,6,865
Screenshot-00032,7,811
Screenshot-00032,8,865
Screenshot-00032,9,865
Screenshot-00033,1,491
Screenshot-00033,2,172
Screenshot-00033,3,868
Screenshot-00033,4,491
Screenshot-00033,5,491
Screenshot-00033,6,292
Screenshot-00033,7,491
Screenshot-00033,8,491
Screenshot-00033,9,491
Screenshot-00034,1,671
Screenshot-00034,2,671
Screenshot-00034,3,671
Screenshot-00034,4,599
Screenshot-00034,5,671
Screenshot-00034,6,671
Screenshot-00034,7,671
Screenshot-00034,8,842
Screenshot-00034,9,376
Screenshot-00035,1,406
Screenshot-00035,2,406
Screenshot-00035,3,913
Screenshot-00035,4,207
Screenshot-00035,5,407
Screenshot-00035,6,406
Screenshot-00035,7,134
Screenshot-00035,8,396
Screenshot-00035,9,358
Screenshot-00036,1,214
Screenshot-00036,2,606
Screenshot-00036,3,489
Screenshot-00036,4,214
Screenshot-00036,5,812
Screenshot-00036,6,214
Screenshot-00036,7,214
Screenshot-00036,8,377
Screenshot-00036,9,100
Screenshot-00037,1,851
Screenshot-00037,2,126
Screenshot-00037,3,126
Screenshot-00037,4,311
Screenshot-00037,5,956
Screenshot-00037,6,126
Screenshot-00037,7,718
Screenshot-00037,8,126
Screenshot-00037,9,913
Screenshot-00038,1,434
Screenshot-00038,2,546
Screenshot-00038,3,434
Screenshot-00038,4,434
Screenshot-00038,5,434
Screenshot-00038,6,434
Screenshot-00038,7,874
Screenshot-00038,8,472
Screenshot-00038,9,434
Screenshot-00039,1,263
Screenshot-00039,2,929
Screenshot-00039,3,263
Screenshot-00039,4,263
Screenshot-00039,5,551
Screenshot-00039,6,494
Screenshot-00039,7,263
Screenshot-00039,8,497
Screenshot-00039,9,224
Screenshot-00040,1,865
Screenshot-00040,2,865
Screenshot-00040,3,660
Screenshot-00040,4,865
Screenshot-00040,5,865
Screenshot-00040,6,234
Screenshot-00040,7,856
Screenshot-00040,8,865
Screenshot-00040,9,770
Screenshot-00041,1,578
Screenshot-00041,2,783
Screenshot-00041,3,783
Screenshot-00041,4,523
Screenshot-00041,5,783
Screenshot-00041,6,783
Screenshot-00041,7,783
Screenshot-00041,8,226
Screenshot-00041,9,783
Screenshot-00042,1,276
Screenshot-00042,2,985
Screenshot-00042,3,418
Screenshot-00042,4,276
Screenshot-00042,5,276
Screenshot-00042,6,276
Screenshot-00042,7,877
Screenshot-00042,8,578
Screenshot-00042,9,276
Screenshot-00043,1,109
Screenshot-00043,2,863
Screenshot-00043,3,905
Screenshot-00043,4,415
Screenshot-00043,5,863
Screenshot-00043,6,863
Screenshot-00043,7,863
Screenshot-00043,8,863
Screenshot-00043,9,863
Screenshot-00044,1,715
Screenshot-00044,2,360
Screenshot-00044,3,715
Screenshot-00044,4,986
Screenshot-00044,5,715
Screenshot-00044,6,715
Screenshot-00044,7,186
Screenshot-00044,8,526
Screenshot-00044,9,715
Screenshot-00045,1,490
Screenshot-00045,2,490
Screenshot-00045,3,490
Screenshot-00045,4,742
Screenshot-00045,5,112
Screenshot-00045,6,600
Screenshot-00045,7,844
Screenshot-00045,8,379
Screenshot-00045,9,147
Screenshot-00046,1,920
Screenshot-00046,2,684
Screenshot-00046,3,599
Screenshot-00046,4,599
Screenshot-00046,5,599
Screenshot-00046,6,699
Screenshot-00046,7,721
Screenshot-00046,8,328
Screenshot-00046,9,599
Screenshot-00047,1,279
Screenshot-00047,2,756
Screenshot-00047,3,312
Screenshot-00047,4,756
Screenshot-00047,5,859
Screenshot-00047,6,756
Screenshot-00047,7,756
Screenshot-00047,8,213
Screenshot-00047,9,897
Screenshot-00048,1,145
Screenshot-00048,2,736
Screenshot-00048,3,145
Screenshot-00048,4,145
Screenshot-00048,5,532
Screenshot-00048,6,145
Screenshot-00048,7,425
Screenshot-00048,8,403
Screenshot-00048,9,145
Screenshot-00049,1,460
Screenshot-00049,2,177
Screenshot-00049,3,141
Screenshot-00049,4,948
Screenshot-00049,5,367
Screenshot-00049,6,460
Screenshot-00049,7,199
Screenshot-00049,8,460
Screenshot-00049,9,460
Screenshot-00050,1,599
Screenshot-00050,2,343
Screenshot-00050,3,343
Screenshot-00050,4,343
Screenshot-00050,5,781
Screenshot-00050,6,343
Screenshot-00050,7,564
Screenshot-00050,8,343
Screenshot-00050,9,458
Screenshot-00051,1,385
Screenshot-00051,2,928
Screenshot-00051,3,951
Screenshot-00051,4,951
Screenshot-00051,5,534
Screenshot-00051,6,951
Screenshot-00051,7,864
Screenshot-00051,8,345
Screenshot-00051,9,360
Screenshot-00052,1,954
Screenshot-00052,2,284
Screenshot-00052,3,380
Screenshot-00052,4,954
Screenshot-00052,5,844
Screenshot-00052,6,954
Screenshot-00052,7,782
Screenshot-00052,8,954
Screenshot-00052,9,954
Screenshot-00053,1,429
Screenshot-00053,2,450
Screenshot-00053,3,511
Screenshot-00053,4,511
Screenshot-00053,5,511
Screenshot-00053,6,511
Screenshot-00053,7,504
Screenshot-00053,8,157
Screenshot-00053,9,593
Screenshot-00054,1,769
Screenshot-00054,2,415
Screenshot-00054,3,415
Screenshot-00054,4,251
Screenshot-00054,5,402
Screenshot-00054,6,415
Screenshot-00054,7,415
Screenshot-00054,8,338
Screenshot-00054,9,647
Screenshot-00055,1,260
Screenshot-00055,2,629
Screenshot-00055,3,629
Screenshot-00055,4,629
Screenshot-00055,5,438
Screenshot-00055,6,796
Screenshot-00055,7,557
Screenshot-00055,8,561
Screenshot-00055,9,884
Screenshot-00056,1,634
Screenshot-00056,2,941
Screenshot-00056,3,634
Screenshot-00056,4,776
Screenshot-00056,5,474
Screenshot-00056,6,213
Screenshot-00056,7,931
Screenshot-00056,8,526
Screenshot-00056,9,634
Screenshot-00057,1,538
Screenshot-00057,2,925
Screenshot-00057,3,925
Screenshot-00057,4,268
Screenshot-00057,5,925
Screenshot-00057,6,925
Screenshot-00057,7,708
Screenshot-00057,8,763
Screenshot-00057,9,925
